step	t	dt	phi_p_avg	phi_p_min	phi_p_max	phi_r_avg	phi_r_min	phi_r_max	phi_m_avg	phi_m_min	phi_m_max	residuals	max_rate_of_change	free_energy
0	0.00000000	1.000e-04	1.5000e-01	1.5000e-01	1.5000e-01	0.0000e+00	0.0000e+00	0.0000e+00	7.4076e-09	2.5856e-16	1.4998e-07	9.2979e-08	3.1979e-06	5.9219e-02
50	0.11639085	1.174e-02	1.5000e-01	1.4947e-01	1.5393e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.5184e-06	3.5070e-13	1.9461e-04	2.4880e-09	3.4780e-04	4.1464e-02
100	12.80697802	8.518e-01	1.5000e-01	1.4020e-01	3.1866e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.1356e-03	1.8330e-10	2.9520e-02	1.2516e-05	9.4347e-03	-4.9754e-01
150	53.50418323	1.000e+00	1.5000e-01	1.3441e-01	5.5358e-01	0.0000e+00	0.0000e+00	0.0000e+00	5.0061e-03	1.3272e-08	1.4622e-01	7.1611e-05	3.7092e-03	2.8212e+00
200	103.50418323	1.000e+00	1.5000e-01	1.3453e-01	4.2696e-01	0.0000e+00	0.0000e+00	0.0000e+00	9.0055e-03	2.2226e-07	2.0337e-01	8.7338e-06	6.3579e-04	1.1222e+01
250	153.50418323	1.000e+00	1.5000e-01	1.3511e-01	3.6341e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.1091e-02	1.2122e-06	2.1014e-01	1.5099e-06	1.9756e-04	1.4849e+01
300	203.50418323	1.000e+00	1.5000e-01	1.3588e-01	3.4610e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2049e-02	3.7151e-06	2.0837e-01	4.1229e-07	7.3231e-05	1.5766e+01
350	253.50418323	1.000e+00	1.5000e-01	1.3607e-01	3.4294e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2532e-02	8.1975e-06	2.0697e-01	1.2579e-07	3.1280e-05	1.6012e+01
400	303.50418323	1.000e+00	1.5000e-01	1.3604e-01	3.4240e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2802e-02	1.4690e-05	2.0645e-01	4.2494e-08	1.4710e-05	1.6119e+01
450	353.50418323	1.000e+00	1.5000e-01	1.3598e-01	3.4217e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.2960e-02	2.2651e-05	2.0631e-01	1.7698e-08	7.3807e-06	1.6183e+01
500	403.50418323	1.000e+00	1.5000e-01	1.3595e-01	3.4200e-01	0.0000e+00	0.0000e+00	0.0000e+00	1.3053e-02	3.1092e-05	2.0626e-01	9.0776e-09	3.8555e-06	1.6218e+01
